_id,medicalcondition,symptoms,severity,tests,price[0],price[1],price[2]
65cccc8816085881d7612b87,Benign prostate enlargement,"Frequent urination, Difficulty starting or stopping urination, Weak urine stream",6,"Digital rectal exam, Prostate-specific antigen (PSA) blood test",1800,3200,
65cccc8816085881d7612b88,Bile duct cancer (cholangiocarcinoma),"Jaundice, Abdominal pain, Unexplained weight loss",8,"Imaging tests (CT, MRI), Biopsy",2500,5000,7000
65cccc8816085881d7612b89,Binge eating,"Eating large amounts of food in a short period, Feeling out of control during episodes, Eating even when not hungry",4,"Psychological evaluation, Blood tests",1000,2000,
65cccc8816085881d7612b8a,Bipolar disorder,"Mood swings, Energy changes, Changes in sleep patterns",7,"Mental health assessment, Mood charting",1500,3000,4500
65cccc8816085881d7612b8b,Bladder cancer,"Blood in urine, Frequent urination, Pelvic pain",8,"Cystoscopy, Imaging tests (CT, MRI)",2000,4000,6000
65cccc8816085881d7612b8c,Blood poisoning (sepsis),"Fever, Rapid heart rate, Confusion",9,"Blood cultures, Imaging tests (X-rays, CT scans)",3000,6000,8000
65cccc8816085881d7612b8d,Bone cancer,"Bone pain, Swelling, Fatigue",8,"Biopsy, X-rays, MRI",2500,5000,7000
65cccc8816085881d7612b8e,Bone cancer: Teenagers and young adults,"Bone pain, Swelling, Fatigue",7,"Biopsy, X-rays, MRI",2200,4500,6500
65cccc8816085881d7612b8f,Bowel cancer,"Changes in bowel habits, Blood in stool, Abdominal pain",8,"Colonoscopy, CT colonography",2800,5500,7500
65cccc8816085881d7612b90,Bowel incontinence,"Involuntary bowel movements, Difficulty controlling gas, Diarrhea",6,"Anal manometry, Colonoscopy",1600,3200,4800
65cccc8816085881d7612b91,Bowel polyps,"No specific symptoms, but can cause bleeding, Changes in bowel habits",5,"Colonoscopy, Flexible sigmoidoscopy",1400,2800,
65cccc8816085881d7612b92,Brain stem death,"Irreversible loss of brain function, Absence of reflexes, Coma",10,"Clinical assessment, EEG",4000,8000,10000
65cccc8816085881d7612b93,Brain tumours,"Headaches, Seizures, Changes in personality",9,"MRI, CT scan, Biopsy",3500,7000,9000
65cccc8816085881d7612b94,Brain tumours: Children,"Headaches, Nausea, Changes in behavior",8,"MRI, CT scan, Biopsy",3000,6000,8000
65cccc8816085881d7612b95,Brain tumours: Teenagers and young adults,"Headaches, Seizures, Changes in personality",8,"MRI, CT scan, Biopsy",3200,6400,8500
65cccc8816085881d7612b96,Breast cancer (female),"Lump in the breast, Changes in breast size or shape, Nipple discharge",9,"Mammogram, Breast biopsy",3500,7000,9000
65cccc8816085881d7612b97,Breast cancer (male),"Lump in the breast, Changes in breast size or shape, Nipple discharge",8,"Mammogram, Breast biopsy",3000,6000,8000
65cccc8816085881d7612b98,Bronchiectasis,"Chronic cough, Recurrent chest infections, Shortness of breath",7,"CT scan, Pulmonary function tests",2500,5000,7000
65cccc8816085881d7612b99,Bronchitis,"Cough, Chest discomfort, Shortness of breath",5,"Physical examination, Chest X-ray",1200,2400,
65cccc8816085881d7612b9a,Bulimia,"Binge eating followed by purging, Excessive exercise, Frequent trips to the bathroom after meals",6,"Physical examination, Blood tests",1400,2800,
65cccc8816085881d7612b9b,Bunion,"Bump on the side of the big toe, Pain and swelling, Difficulty wearing shoes",4,"Physical examination, X-rays",1000,2000,
65cccc8816085881d7612b9c,Carcinoid syndrome and carcinoid tumours,"Flushing, Diarrhea, Wheezing",7,"Blood and urine tests, Imaging tests (CT, MRI), Biopsy",2500,5000,7000
65cccc8816085881d7612b9d,Catarrh,"Runny or stuffy nose, Sneezing, Coughing",3,"Physical examination, Blood tests",800,1600,
65cccc8816085881d7612b9e,Cellulitis,"Red and swollen skin, Pain, Warmth",6,"Physical examination, Blood cultures",1200,2400,3600
65cccc8816085881d7612b9f,Cerebral palsy,"Poor coordination, Muscle stiffness, Tremors",8,"Neurological examination, Imaging tests (MRI, CT scan)",3000,6000,8000
65cccc8816085881d7612ba0,Cervical cancer,"Abnormal vaginal bleeding, Pelvic pain, Pain during intercourse",9,"Pap test, HPV test, Biopsy",3500,7000,9000
65cccc8816085881d7612ba1,Chest infection,"Cough, Shortness of breath, Chest pain",5,"Chest X-ray, Blood tests",1000,2000,
65cccc8816085881d7612ba2,Chest pain,"Sharp or dull chest pain, Tightness in the chest, Shortness of breath",7,"ECG, Chest X-ray, Blood tests",1800,3600,5400
65cccc8816085881d7612ba3,Chickenpox,"Red spots, Itchy rash, Fever",4,"Clinical diagnosis, Blood tests",1200,2400,
65cccc8816085881d7612ba4,Chilblains,"Red and swollen skin, Itching, Pain",3,Physical examination,800,1600,
65cccc8816085881d7612ba5,Chlamydia,"Painful urination, Abnormal discharge, Pelvic pain",6,"Urine test, Swab test",1400,2800,4200
65cccc8816085881d7612ba6,Chronic fatigue syndrome,"Persistent fatigue, Muscle and joint pain, Headaches",6,"Physical examination, Blood tests",1500,3000,
65cccc8816085881d7612ba7,Chronic kidney disease,"Fatigue, Swelling, Changes in urination",8,"Blood tests, Urine tests, Imaging tests (Ultrasound)",2800,5500,7500
65cccc8816085881d7612ba8,Chronic lymphocytic leukaemia,"Fatigue, Enlarged lymph nodes, Weight loss",9,"Blood tests, Bone marrow biopsy",3200,6400,8500
65cccc8816085881d7612ba9,Chronic myeloid leukaemia,"Fatigue, Abdominal pain, Easy bruising",9,"Blood tests, Bone marrow biopsy",3400,6800,9000
65cccc8816085881d7612baa,Chronic obstructive pulmonary disease,"Shortness of breath, Chronic cough, Wheezing",7,"Spirometry, Chest X-ray, CT scan",2500,5000,7000
65cccc8816085881d7612bab,Chronic pain,"Persistent pain, Fatigue, Sleep disturbances",6,"Physical examination, Imaging tests (MRI, CT scan)",1800,3600,
65cccc8816085881d7612bac,Chronic pancreatitis,"Abdominal pain, Weight loss, Nausea",8,"Blood tests, Imaging tests (CT, MRI)",2800,5500,7500
65cccc8816085881d7612bad,Cirrhosis,"Fatigue, Weakness, Abdominal swelling",8,"Liver function tests, Imaging tests (CT, MRI)",3000,6000,8000
65cccc8816085881d7612bae,Clostridium difficile,"Diarrhea, Abdominal pain, Fever",6,"Stool tests, Colonoscopy",1500,3000,
65cccc8816085881d7612baf,Coeliac disease,"Abdominal pain, Diarrhea, Weight loss",6,"Blood tests, Endoscopy",1600,3200,4800
65cccc8816085881d7612bb0,Cold sore,"Painful blisters, Itching, Redness",3,Clinical diagnosis,800,1600,
65cccc8816085881d7612bb1,Coma,"Unconsciousness, No response to stimuli, Abnormal breathing",10,"Neurological examination, Imaging tests (CT, MRI), EEG",4000,8000,10000
65cccc8816085881d7612bb2,Common cold,"Runny or stuffy nose, Sneezing, Coughing",2,"Clinical diagnosis, Blood tests",600,1200,
65cccc8816085881d7612bb3,Common heart conditions,"Chest pain, Shortness of breath, Fatigue",7,"ECG, Echocardiogram, Blood tests",2000,4000,6000
65cccc8816085881d7612bb4,Congenital heart disease,"Cyanosis, Shortness of breath, Fatigue",8,"Echocardiogram, Chest X-ray, MRI",2800,5500,7500
65cccc8816085881d7612bb5,Conjunctivitis,"Redness of the eye, Itching, Discharge",3,Physical examination,800,1600,
65cccc8816085881d7612bb6,Constipation,"Infrequent bowel movements, Straining during bowel movements, Abdominal discomfort",4,"Clinical diagnosis, Blood tests",1000,2000,
65cccc8816085881d7612bb7,Coronavirus (COVID-19),"Fever, Cough, Shortness of breath",8,"PCR test, Rapid antigen test, Chest CT scan",3000,6000,8000
65cccc8816085881d7612bb8,Cough,"Persistent cough, Sputum production, Shortness of breath",4,"Clinical diagnosis, Chest X-ray",1200,2400,
65cccc8816085881d7612bb9,Crohn’s disease,"Abdominal pain, Diarrhea, Fatigue",7,"Colonoscopy, Blood tests, Imaging tests (CT, MRI)",2500,5000,7000
65cccc8816085881d7612bba,Croup,"Barking cough, Stridor, Fever",4,"Clinical diagnosis, Chest X-ray",1200,2400,
65cccc8816085881d7612bbb,Cystic fibrosis,"Persistent cough, Difficulty breathing, Salty-tasting skin",8,"Sweat test, Genetic testing, Pulmonary function tests",3000,6000,8000
65cccc8816085881d7612bbc,Cystitis,"Urinary urgency, Painful urination, Lower abdominal pain",5,"Urinalysis, Urine culture",1400,2800,
65cccc8816085881d7612bbd,Deafblindness,Loss of both hearing and vision,8,"Audiometry, Visual field test",2500,5000,
65cccc8816085881d7612bbe,Deep vein thrombosis,"Swelling, Pain, Redness in the affected limb",7,"D-dimer blood test, Ultrasound",1800,3600,5400
65cccc8816085881d7612bbf,Dehydration,"Thirst, Dark yellow urine, Fatigue",5,"Blood tests, Urinalysis",1200,2400,
65cccc8816085881d7612bc0,Dementia,"Memory loss, Cognitive decline, Difficulty in daily tasks",9,"Cognitive tests, Brain imaging (MRI, CT scan)",3000,6000,8000
65cccc8816085881d7612bc1,Dementia with Lewy bodies,"Visual hallucinations, Tremors, Fluctuating alertness",8,"Cognitive tests, Brain imaging (MRI, CT scan)",2800,5500,7500
65cccc8816085881d7612bc2,Dental abscess,"Severe toothache, Swelling in the face, Fever",6,"Dental X-ray, Pus culture",1500,3000,
65cccc8816085881d7612bc3,Depression,"Persistent sadness, Loss of interest, Fatigue",6,"Mental health assessment, Blood tests",1600,3200,4800
65cccc8816085881d7612bc4,Dermatitis herpetiformis,"Itchy, blistering skin rash",4,"Skin biopsy, Blood tests",1000,2000,
65cccc8816085881d7612bc5,Diabetes,"Increased thirst, Frequent urination, Fatigue",7,"Fasting blood sugar, HbA1c, Oral glucose tolerance test",2000,4000,6000
65cccc8816085881d7612bc6,Diarrhoea,"Loose or watery stools, Abdominal cramps, Dehydration",4,"Stool culture, Blood tests",1200,2400,
65cccc8816085881d7612bc7,Discoid eczema,"Dry, itchy, and cracked skin",3,"Clinical examination, Skin biopsy",800,1600,
65cccc8816085881d7612bc8,Diverticular disease and diverticulitis,"Abdominal pain, Changes in bowel habits, Fever",6,"Colonoscopy, CT scan",1400,2800,4200
65cccc8816085881d7612bc9,Dizziness (Lightheadedness),"Feeling faint or lightheaded, Unsteadiness",4,"Blood pressure monitoring, Inner ear tests",1000,2000,
65cccc8816085881d7612bca,Down’s syndrome,"Distinctive facial features, Intellectual disability, Developmental delays",8,"Chromosomal analysis (karyotype), Prenatal screening",2800,5500,7500
65cccc8816085881d7612bcb,Dry mouth,"Difficulty swallowing, Sticky or dry feeling in the mouth",3,"Salivary flow test, Blood tests",800,1600,
65cccc8816085881d7612bcc,Dysphagia (swallowing problems),"Difficulty swallowing, Choking, Regurgitation",5,"Barium swallow test, Endoscopy",1200,2400,
65cccc8816085881d7612bcd,Dystonia,"Involuntary muscle contractions, Twisting movements",7,"Clinical evaluation, MRI, Electromyography (EMG)",2000,4000,6000
65cccc8816085881d7612bce,Earache,"Pain in the ear, Hearing loss, Ear discharge",4,"Physical examination, Hearing tests",1200,2400,
65cccc8816085881d7612bcf,Earwax build-up,"Hearing loss, Ear discomfort, Tinnitus",3,"Ear irrigation, Physical examination",800,1600,
65cccc8816085881d7612bd0,Ebola virus disease,"Fever, Severe headache, Bleeding",9,"PCR test, Blood tests",3000,6000,8000
65cccc8816085881d7612bd1,Ectopic pregnancy,"Abdominal pain, Vaginal bleeding, Shoulder pain",7,"Pelvic ultrasound, Blood tests",2200,4500,6500
65cccc8816085881d7612bd2,Edwards’ syndrome,"Distinctive facial features, Intellectual disability, Heart defects",8,"Chromosomal analysis (karyotype), Prenatal screening",2800,5500,7500
65cccc8816085881d7612bd3,Endometriosis,"Pelvic pain, Painful periods, Infertility",6,"Pelvic ultrasound, Laparoscopy",1800,3600,5400
65cccc8816085881d7612bd4,Epilepsy,"Seizures, Temporary confusion, Uncontrollable movements",7,"Electroencephalogram (EEG), Brain imaging (MRI, CT scan)",2200,4500,6500
65cccc8816085881d7612bd5,Erectile dysfunction (impotence),Difficulty achieving or maintaining an erection,5,"Blood tests, Ultrasound of the penis",1400,2800,
65cccc8816085881d7612bd6,Escherichia coli (E. coli) O157,"Severe stomach cramps, Diarrhea, Vomiting",6,"Stool culture, Blood tests",1600,3200,
65cccc8816085881d7612bd7,Ewing sarcoma,"Bone pain, Swelling, Fatigue",8,"Biopsy, X-rays, MRI",2800,5500,7500
65cccc8816085881d7612bd8,Ewing sarcoma: Children,"Bone pain, Swelling, Fatigue",7,"Biopsy, X-rays, MRI",2500,5000,7000
65cccc8816085881d7612bd9,Eye cancer,"Changes in vision, Eye pain, Bulging eye",8,"Eye examination, Imaging tests (CT, MRI)",2500,5000,7000
65cccc8816085881d7612bda,Febrile seizures,"Convulsions, Fever, Loss of consciousness",4,"Clinical diagnosis, Blood tests",1200,2400,
65cccc8816085881d7612bdb,Feeling of something in your throat (Globus),"Feeling of a lump in the throat, Difficulty swallowing",3,"Physical examination, Endoscopy",800,1600,
65cccc8816085881d7612bdc,Fever in adults,"High body temperature, Chills, Sweating",4,"Blood tests, Imaging tests (X-rays, CT scans)",1400,2800,
65cccc8816085881d7612bdd,Fever in children,"High body temperature, Irritability, Poor feeding",3,"Clinical examination, Blood tests",1000,2000,
65cccc8816085881d7612bde,Fibroids,"Heavy menstrual bleeding, Pelvic pain, Frequent urination",6,"Pelvic ultrasound, Hysteroscopy",1800,3600,5400
65cccc8816085881d7612bdf,Fibromyalgia,"Widespread pain, Fatigue, Sleep disturbances",5,"Clinical evaluation, Blood tests",1400,2800,
65cccc8816085881d7612be0,Farting,"Excessive gas, Belching, Abdominal bloating",2,Clinical diagnosis,600,1200,
65cccc8816085881d7612be1,Flu,"Fever, Cough, Body aches",3,"Clinical diagnosis, Rapid influenza test",1000,2000,
65cccc8816085881d7612be2,Foetal alcohol syndrome,"Facial deformities, Growth delays, Intellectual disability",7,"Clinical examination, Blood tests",2200,4500,6500
65cccc8816085881d7612be3,Food poisoning,"Nausea, Vomiting, Diarrhea",4,"Stool culture, Blood tests",1200,2400,
65cccc8816085881d7612be4,Functional neurological disorder (FND),Neurological symptoms inconsistent with known diseases,6,"Neurological examination, MRI, EEG",1800,3600,
65cccc8816085881d7612be5,Fungal nail infection,"Thickened, discolored nails",3,Nail clippings examination,800,1600,
65cccc8816085881d7612be6,Gallbladder cancer,"Abdominal pain, Jaundice, Unexplained weight loss",8,"Imaging tests (CT, MRI), Biopsy",3000,6000,8000
65cccc8816085881d7612be7,Gallstones,"Abdominal pain, Jaundice, Nausea",6,"Abdominal ultrasound, CT scan",1600,3200,4800
65cccc8816085881d7612be8,Ganglion cyst,"Lump or mass, Pain, Limited joint movement",4,"Clinical examination, Ultrasound",1200,2400,
65cccc8816085881d7612be9,Gastroenteritis,"Nausea, Vomiting, Diarrhea",4,"Stool culture, Blood tests",1200,2400,
65cccc8816085881d7612bea,Gastro-oesophageal reflux disease (GORD),"Heartburn, Regurgitation, Chest pain",5,"Upper endoscopy, pH monitoring",1400,2800,
65cccc8816085881d7612beb,Genital herpes,"Painful sores, Itching, Flu-like symptoms",4,"Viral culture, PCR test",1200,2400,
65cccc8816085881d7612bec,Genital symptoms,"Pain, Itching, Discharge",3,"Clinical examination, Swab tests",800,1600,
65cccc8816085881d7612bed,Genital warts,"Small growths, Itching, Discomfort",3,"Clinical examination, Biopsy",1000,2000,
65cccc8816085881d7612bee,Germ cell tumours,"Testicular or ovarian mass, Abdominal pain",7,"Blood tests, Imaging tests (CT, MRI), Biopsy",2500,5000,7000
65cccc8816085881d7612bef,Glandular fever,"Fatigue, Sore throat, Swollen lymph nodes",5,"Monospot test, Blood tests",1400,2800,
65cccc8816085881d7612bf0,Gonorrhoea,"Painful urination, Abnormal discharge, Pelvic pain",5,"Urine test, Swab test",1400,2800,
65cccc8816085881d7612bf1,Gout,"Joint pain, Swelling, Redness",4,"Joint fluid analysis, Blood tests",1200,2400,
65cccc8816085881d7612bf2,Gum disease,"Bleeding gums, Bad breath, Receding gums",3,"Dental examination, X-rays",800,1600,
65cccc8816085881d7612bf3,Haemorrhoids (piles),"Bleeding during bowel movements, Itching, Swelling",3,"Clinical examination, Colonoscopy",1000,2000,
65cccc8816085881d7612bf4,"Hand, foot and mouth disease","Fever, Sore throat, Skin rash",3,Clinical diagnosis,800,1600,
65cccc8816085881d7612bf5,Hay fever,"Sneezing, Runny or stuffy nose, Itchy eyes",2,Clinical diagnosis,600,1200,
65cccc8816085881d7612bf6,Head and neck cancer,"Persistent sore throat, Difficulty swallowing, Lump in the neck",8,"Biopsy, Imaging tests (CT, MRI)",3000,6000,8000
65cccc8816085881d7612bf7,Head lice and nits,"Itching, Red bumps on the scalp, Presence of nits",2,Visual examination,600,1200,
65cccc8816085881d7612bf8,Headaches,Pain or discomfort in the head,3,"Clinical examination, Imaging tests (CT, MRI)",1000,2000,
65cccc8816085881d7612bf9,Hearing loss,Reduced ability to hear,4,"Audiometry, Hearing tests",1200,2400,
65cccc8816085881d7612bfa,Heart attack,"Chest pain, Shortness of breath, Sweating",9,"ECG, Blood tests, Coronary angiography",3500,7000,9000
65cccc8816085881d7612bfb,Heart failure,"Shortness of breath, Fatigue, Swelling in the legs",8,"Echocardiogram, Blood tests",2800,5500,7500
65cccc8816085881d7612bfc,Hepatitis A,"Fatigue, Nausea, Jaundice",6,"Blood tests, Hepatitis A antibody test",1600,3200,4800
65cccc8816085881d7612bfd,Hepatitis B,"Fatigue, Abdominal pain, Jaundice",7,"Blood tests, Hepatitis B surface antigen test",2000,4000,6000
65cccc8816085881d7612bfe,Hepatitis C,"Fatigue, Abdominal pain, Jaundice",8,"Blood tests, HCV antibody test",2800,5500,7500
65cccc8816085881d7612bff,Hiatus hernia,"Heartburn, Regurgitation, Chest pain",5,"Upper endoscopy, pH monitoring",1400,2800,
65cccc8816085881d7612c00,High cholesterol,"No specific symptoms, Elevated cholesterol levels",3,Lipid profile blood test,1000,2000,
65cccc8816085881d7612c01,HIV,"Flu-like symptoms, Fatigue, Swollen lymph nodes",8,"HIV antibody test, PCR test",2800,5500,7500
65cccc8816085881d7612c02,Hodgkin lymphoma,"Swollen lymph nodes, Fatigue, Unexplained weight loss",8,"Biopsy, Imaging tests (CT, PET-CT)",3000,6000,8000
65cccc8816085881d7612c03,Hodgkin lymphoma: Children,"Swollen lymph nodes, Fatigue, Unexplained weight loss",7,"Biopsy, Imaging tests (CT, PET-CT)",2500,5000,7000
65cccc8816085881d7612c04,Hodgkin lymphoma: Teenagers and young adults,"Swollen lymph nodes, Fatigue, Unexplained weight loss",7,"Biopsy, Imaging tests (CT, PET-CT)",2500,5000,7000
65cccc8816085881d7612c05,Huntington’s disease,"Motor and cognitive decline, Involuntary movements",9,"Genetic testing, Neurological examination",3000,6000,8000
65cccc8816085881d7612c06,Hyperglycaemia (high blood sugar),"Increased thirst, Frequent urination, Fatigue",6,"Blood glucose tests, HbA1c",1800,3600,5400
65cccc8816085881d7612c07,Hyperhidrosis,"Excessive sweating, Damp palms, Foot odor",4,"Clinical diagnosis, Sweat tests",1200,2400,
65cccc8816085881d7612c08,Hypoglycaemia (low blood sugar),"Shakiness, Sweating, Confusion",4,"Blood glucose tests, Insulin levels",1200,2400,
65cccc8816085881d7612c09,Idiopathic pulmonary fibrosis,"Shortness of breath, Cough, Fatigue, Unexplained weight loss, Aching muscles and joints, Clubbing (enlargement and rounding) of fingertips",8,"Chest X-ray, High-resolution CT scan, Pulmonary function tests (spirometry, diffusion capacity)",3000,4000,3500
65cccc8816085881d7612c0a,Impetigo,"Red sores that quickly rupture and ooze, Honey-colored crusts, Itching, Swollen lymph nodes, Fever",5,"Physical examination, Swab of the affected area for bacterial culture and sensitivity",2000,2500,2200
65cccc8816085881d7612c0b,Indigestion,"Pain or discomfort in the upper abdomen, Belching, Bloating, Nausea, Vomiting, Heartburn",4,"Physical examination, Endoscopy, Upper gastrointestinal series",1500,2000,1800
65cccc8816085881d7612c0c,Ingrown toenail,"Pain, Swelling, Redness, Infection, Tenderness",3,Physical examination,1000,1500,1200
